CPF,Nome,Endereço,CEP,E-mail,Telefones
12345678901,João Silva,"Rua das Flores, 456",12345678,joao.silva@email.com,11987654355
23456789012,Ana Santos,"Avenida Principal, 567",23456789,ana.santos@email.com,11987654356
34567890123,Luiz Ferreira,"Travessa da Praia, 678",34567890,luiz.ferreira@email.com,11987654357
45678901234,Marina Oliveira,"Alameda dos Sonhos, 789",45678901,marina.oliveira@email.com,11987654358
56789012345,Carlos Souza,"Rua do Comércio, 890",56789012,carlos.souza@email.com,11987654359
67890123456,Lucia Pereira,"Avenida Central, 901",67890123,lucia.pereira@email.com,11987654360
78901234567,Eduardo Rodrigues,"Travessa da Montanha, 012",78901234,eduardo.rodrigues@email.com,11987654361
89012345678,Isabela Almeida,"Alameda das Flores, 123",89012345,isabela.almeida@email.com,11987654362
90123456789,Gustavo Martins,"Rua dos Bosques, 234",90123456,gustavo.martins@email.com,11987654363
12334567890,Amanda Lima,"Travessa da Cidade, 345",12334567,amanda.lima@email.com,11987654364
23445678901,Rodrigo Costa,"Avenida dos Parques, 456",23445678,rodrigo.costa@email.com,11987654365
34556789012,Larissa Ribeiro,"Alameda das Praias, 567",34556789,larissa.ribeiro@email.com,11987654366
45667890123,Marcos Santos,"Rua das Lojas, 678",45667890,marcos.santos@email.com,11987654367
56778901234,Carolina Fernandes,"Travessa das Escolas, 789",56778901,carolina.fernandes@email.com,11987654368
67889012345,Paulo Oliveira,"Avenida dos Clubes, 890",67889012,paulo.oliveira@email.com,11987654369
78990123456,Juliana Silva,"Alameda dos Bares, 901",78990123,juliana.silva@email.com,11987654370
89012345678,Roberto Souza,"Rua do Estádio, 123",89012345,roberto.souza@email.com,11987654371
90123456789,Sofia Pereira,"Travessa das Praças, 234",90123456,sofia.pereira@email.com,11987654372
12345678900,André Alves,"Avenida dos Teatros, 456",12345678,andre.alves@email.com,11987654373
23456789001,Luana Mendes,"Rua dos Museus, 567",23456789,luana.mendes@email.com,11987654374
