CPF,Nome,Endereço,CEP,E-mail,Telefones
12345678901,João Silva,"Rua das Flores, 456",12345678,joao.silva@email.com,555-555-5555
23456789012,Ana Santos,"Avenida Principal, 567",23456789,ana.santos@email.com,555-555-5556
34567890123,Luiz Ferreira,"Travessa da Praia, 678",34567890,luiz.ferreira@email.com,555-555-5557
45678901234,Marina Oliveira,"Alameda dos Sonhos, 789",45678901,marina.oliveira@email.com,555-555-5558
56789012345,Carlos Souza,"Rua do Comércio, 890",56789012,carlos.souza@email.com,555-555-5559
67890123456,Lucia Pereira,"Avenida Central, 901",67890123,lucia.pereira@email.com,555-555-5560
78901234567,Eduardo Rodrigues,"Travessa da Montanha, 012",78901234,eduardo.rodrigues@email.com,555-555-5561
89012345678,Isabela Almeida,"Alameda das Flores, 123",89012345,isabela.almeida@email.com,555-555-5562
90123456789,Gustavo Martins,"Rua dos Bosques, 234",90123456,gustavo.martins@email.com,555-555-5563
12334567890,Amanda Lima,"Travessa da Cidade, 345",12334567,amanda.lima@email.com,555-555-5564
23445678901,Rodrigo Costa,"Avenida dos Parques, 456",23445678,rodrigo.costa@email.com,555-555-5565
34556789012,Larissa Ribeiro,"Alameda das Praias, 567",34556789,larissa.ribeiro@email.com,555-555-5566
45667890123,Marcos Santos,"Rua das Lojas, 678",45667890,marcos.santos@email.com,555-555-5567
56778901234,Carolina Fernandes,"Travessa das Escolas, 789",56778901,carolina.fernandes@email.com,555-555-5568
67889012345,Paulo Oliveira,"Avenida dos Clubes, 890",67889012,paulo.oliveira@email.com,555-555-5569
78990123456,Juliana Silva,"Alameda dos Bares, 901",78990123,juliana.silva@email.com,555-555-5570
89012345678,Roberto Souza,"Rua do Estádio, 123",89012345,roberto.souza@email.com,555-555-5571
90123456789,Sofia Pereira,"Travessa das Praças, 234",90123456,sofia.pereira@email.com,555-555-5572
12345678900,André Alves,"Avenida dos Teatros, 456",12345678,andre.alves@email.com,555-555-5573
23456789001,Luana Mendes,"Rua dos Museus, 567",23456789,luana.mendes@email.com,555-555-5574
